,,,,,,,,,,,"Classes, properties, attributes, and axioms are subject to change.@en",,,,,,,,,
http://www.w3.org/2001/XMLSchema#date,,,http://www.w3.org/2000/01/rdf-schema#Datatype,,,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#example,For relating concept example values.,osgeo:examples property,http://www.w3.org/2002/07/owl#DatatypeProperty,,,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#hasInfo,For relating concept to concept info.,osgeo:hasLDAPI,http://www.w3.org/2002/07/owl#ObjectProperty,https://osgeo.geolexica.org/api/geolexica#ConceptInfo,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,,,,
http://purl.org/dc/terms/MediaType,Use of MediaType in this case is for classifying linked data file types.@en,,http://www.w3.org/2002/07/owl#Class,,,,,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#SKOS-RDF,Class for TTL file types.@en,Turtle files (TTL),http://www.w3.org/2002/07/owl#Class,,,https://osgeo.geolexica.org/api/geolexica#LinkedDataAPI,https://osgeo.geolexica.org/api/geolexica#TBX-ISO-XML,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#JSON-LD,Class for JSON-LD file types.@en,JSON-LD files,http://www.w3.org/2002/07/owl#Class,,,https://osgeo.geolexica.org/api/geolexica#LinkedDataAPI,https://osgeo.geolexica.org/api/geolexica#TBX-ISO-XML,,,,,,,,,,,,,
,,,,,,,https://osgeo.geolexica.org/api/geolexica#SKOS-RDF,,,,,,,,,,,,,
,,,,,,,https://osgeo.geolexica.org/api/geolexica#RDF-XML,,,,,,,,,,,,,
https://osgeo.geolexica.org/api/geolexica#hasSource,For relating concept to source.,osgeo:hasSource,http://www.w3.org/2002/07/owl#ObjectProperty,https://osgeo.geolexica.org/api/geolexica#Source,http://www.w3.org/2004/02/skos/core#Concept,,,,,,,,,,,,,,,
