subject,http://purl.org/dc/terms/source,http://purl.org/dc/terms/description,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2000/01/rdf-schema#comment,http://purl.org/vocab/vann/preferredNamespacePrefix,http://purl.org/vocab/vann/preferredNamespaceUri,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/conformsTo,http://www.w3.org/2002/07/owl#imports,http://www.w3.org/2002/07/owl#versionIRI,http://purl.org/dc/terms/license,http://purl.org/dc/terms/created
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19103-2015,https://www.iso.org/standard/56734.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Conceptual schema language@en,ISO 19103:2015,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#UNFAO-LCCS-2005,,,UNFAO LCCS 2:2005,http://www.w3.org/2002/07/owl#NamedIndividual,UNFAO LCCS 2:2005@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#OASIS-RAF,,,OASIS RAF,http://www.w3.org/2002/07/owl#NamedIndividual,OASIS RAF@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-31-2-1992,https://www.iso.org/standard/3626.html^^http://www.w3.org/2001/XMLSchema#anyURI,Quantities and units — Part 2: Periodic and related phenomena@en,ISO 31-2:1992,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19142-2010,https://www.iso.org/standard/42136.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Web Feature Service@en,ISO 19142:2010,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ITU-R-686-1,,,"ITU-R Rec.TF.686-1 , (1997)",http://www.w3.org/2002/07/owl#NamedIndividual,"ITU-R Rec.TF.686-1 , (1997)@en",Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
