s,o
https://isotc211.geolexica.org/api/concepts#interfaceUML,interface (UML)
https://isotc211.geolexica.org/api/concepts#interior,interior
https://isotc211.geolexica.org/api/concepts#interoperability,interoperability
https://isotc211.geolexica.org/api/concepts#interval_scale,interval scale
https://isotc211.geolexica.org/api/concepts#inverse_evaluation,inverse evaluation (coverage)
https://isotc211.geolexica.org/api/concepts#isolated_node,isolated node
https://isotc211.geolexica.org/api/concepts#isomorphism,isomorphism
https://isotc211.geolexica.org/api/concepts#item,item
https://isotc211.geolexica.org/api/concepts#item_class,item class
https://isotc211.geolexica.org/api/concepts#junction,junction
https://isotc211.geolexica.org/api/concepts#language_identifier,language identifier
https://isotc211.geolexica.org/api/concepts#layer,layer
https://isotc211.geolexica.org/api/concepts#lexical_language,lexical language
https://isotc211.geolexica.org/api/concepts#life_span,life span
https://isotc211.geolexica.org/api/concepts#line_string,line string
https://isotc211.geolexica.org/api/concepts#linear_posit_system,linear positioning system
https://isotc211.geolexica.org/api/concepts#linear_reference_system,linear reference system
https://isotc211.geolexica.org/api/concepts#linear_referencing_system,linear referencing system
https://isotc211.geolexica.org/api/concepts#link,link
https://isotc211.geolexica.org/api/concepts#link_position,link position
https://isotc211.geolexica.org/api/concepts#location,location
https://isotc211.geolexica.org/api/concepts#location_based_service,location based service
https://isotc211.geolexica.org/api/concepts#location_dependent_service,location dependent service
https://isotc211.geolexica.org/api/concepts#main_road_rule,main-road rule
https://isotc211.geolexica.org/api/concepts#maneuver_manœuvre,"maneuver, manœuvre"
https://isotc211.geolexica.org/api/concepts#map,map
https://isotc211.geolexica.org/api/concepts#mean_sea_level,mean sea level
https://isotc211.geolexica.org/api/concepts#measureGML,measure (GML)
https://isotc211.geolexica.org/api/concepts#medium,medium
https://isotc211.geolexica.org/api/concepts#metadata,metadata
https://isotc211.geolexica.org/api/concepts#metadata_element,metadata element
https://isotc211.geolexica.org/api/concepts#metadata_entity,metadata entity
https://isotc211.geolexica.org/api/concepts#metadata_schema,metadata schema
https://isotc211.geolexica.org/api/concepts#metadata_section,metadata section
https://isotc211.geolexica.org/api/concepts#metamodelUML,metamodel (UML)
https://isotc211.geolexica.org/api/concepts#methodUML,method (UML)
https://isotc211.geolexica.org/api/concepts#model,model
https://isotc211.geolexica.org/api/concepts#month,month
https://isotc211.geolexica.org/api/concepts#motion,motion
https://isotc211.geolexica.org/api/concepts#multiplicityUML,multiplicity (UML)
https://isotc211.geolexica.org/api/concepts#navigation,navigation
https://isotc211.geolexica.org/api/concepts#neighbourhood,neighbourhood
https://isotc211.geolexica.org/api/concepts#network,network
https://isotc211.geolexica.org/api/concepts#node,node
https://isotc211.geolexica.org/api/concepts#non_conformance,non-conformance
https://isotc211.geolexica.org/api/concepts#northing,northing
https://isotc211.geolexica.org/api/concepts#object,object
https://isotc211.geolexica.org/api/concepts#objectUML,object (UML)
https://isotc211.geolexica.org/api/concepts#obsolete_term,obsolete term
https://isotc211.geolexica.org/api/concepts#open_systems_enviro,open systems environment
https://isotc211.geolexica.org/api/concepts#operating_conditions,operating conditions
https://isotc211.geolexica.org/api/concepts#operation,operation
https://isotc211.geolexica.org/api/concepts#operationUML,operation (UML)
https://isotc211.geolexica.org/api/concepts#optical_posit_system,optical positioning system
https://isotc211.geolexica.org/api/concepts#ordinal_era,ordinal era
https://isotc211.geolexica.org/api/concepts#ordinal_scale,ordinal scale
https://isotc211.geolexica.org/api/concepts#ordinal_temp_ref_system,ordinal temporal reference system
https://isotc211.geolexica.org/api/concepts#packageUML,package (UML)
https://isotc211.geolexica.org/api/concepts#pass_verdict,pass verdict
https://isotc211.geolexica.org/api/concepts#performance_indicator,performance indicator
https://isotc211.geolexica.org/api/concepts#performance_testing,performance testing
https://isotc211.geolexica.org/api/concepts#period,period
https://isotc211.geolexica.org/api/concepts#periodic_time,periodic time
https://isotc211.geolexica.org/api/concepts#physical_quantity,physical quantity
https://isotc211.geolexica.org/api/concepts#planar_topo_complex,planar topological complex
https://isotc211.geolexica.org/api/concepts#point,point
https://isotc211.geolexica.org/api/concepts#point_coverage,point coverage
https://isotc211.geolexica.org/api/concepts#polygon_coverage,polygon coverage
https://isotc211.geolexica.org/api/concepts#population,population
https://isotc211.geolexica.org/api/concepts#portrayal,portrayal
https://isotc211.geolexica.org/api/concepts#portrayal_catalogue,portrayal catalogue
https://isotc211.geolexica.org/api/concepts#portrayal_rule,portrayal rule
https://isotc211.geolexica.org/api/concepts#portrayal_service,portrayal service
https://isotc211.geolexica.org/api/concepts#portrayal_specification,portrayal specification
https://isotc211.geolexica.org/api/concepts#position,position
https://isotc211.geolexica.org/api/concepts#positional_accuracy,positional accuracy
https://isotc211.geolexica.org/api/concepts#positional_system,positional system
https://isotc211.geolexica.org/api/concepts#precision,precision
https://isotc211.geolexica.org/api/concepts#preferred_term,preferred term
https://isotc211.geolexica.org/api/concepts#prime_meridian,prime meridian
https://isotc211.geolexica.org/api/concepts#product_specification,product specification
https://isotc211.geolexica.org/api/concepts#profile,profile
https://isotc211.geolexica.org/api/concepts#quality,quality
https://isotc211.geolexica.org/api/concepts#quality_schema,quality schema
https://isotc211.geolexica.org/api/concepts#range_coverage,range (coverage)
https://isotc211.geolexica.org/api/concepts#raster,raster
https://isotc211.geolexica.org/api/concepts#record,record
https://isotc211.geolexica.org/api/concepts#rectified_grid,rectified grid
https://isotc211.geolexica.org/api/concepts#reference_data,reference data
https://isotc211.geolexica.org/api/concepts#referenceable_grid,referenceable grid
https://isotc211.geolexica.org/api/concepts#refinementUML,refinement (UML)
https://isotc211.geolexica.org/api/concepts#register,register
https://isotc211.geolexica.org/api/concepts#register_owner,register owner
https://isotc211.geolexica.org/api/concepts#registration,registration
https://isotc211.geolexica.org/api/concepts#registry,registry
https://isotc211.geolexica.org/api/concepts#relationshipUML,relationship (UML)
https://isotc211.geolexica.org/api/concepts#relative_position,relative position
https://isotc211.geolexica.org/api/concepts#relative_positional_accuracy,relative positional accuracy
https://isotc211.geolexica.org/api/concepts#remote_sensing,remote sensing
https://isotc211.geolexica.org/api/concepts#request,request
https://isotc211.geolexica.org/api/concepts#resource,resource
https://isotc211.geolexica.org/api/concepts#response,response
https://isotc211.geolexica.org/api/concepts#ring,ring
https://isotc211.geolexica.org/api/concepts#robustness_testing,robustness testing
https://isotc211.geolexica.org/api/concepts#route,route
https://isotc211.geolexica.org/api/concepts#route_instruction,route instruction
https://isotc211.geolexica.org/api/concepts#route_traversal,route traversal
https://isotc211.geolexica.org/api/concepts#routing,routing
https://isotc211.geolexica.org/api/concepts#satellite_posit_system,satellite positioning system
https://isotc211.geolexica.org/api/concepts#schema,schema
https://isotc211.geolexica.org/api/concepts#schema_model,schema model
https://isotc211.geolexica.org/api/concepts#segment,segment
https://isotc211.geolexica.org/api/concepts#semantic_type,semantic type
https://isotc211.geolexica.org/api/concepts#sequence,sequence
https://isotc211.geolexica.org/api/concepts#server,server
https://isotc211.geolexica.org/api/concepts#service,service
https://isotc211.geolexica.org/api/concepts#service_chain,service chain
https://isotc211.geolexica.org/api/concepts#service_interface,service interface
https://isotc211.geolexica.org/api/concepts#service_metadata,service metadata
https://isotc211.geolexica.org/api/concepts#set,set
https://isotc211.geolexica.org/api/concepts#shell,shell
https://isotc211.geolexica.org/api/concepts#simple,simple
https://isotc211.geolexica.org/api/concepts#simple_feature,simple feature
https://isotc211.geolexica.org/api/concepts#slope,slope
https://isotc211.geolexica.org/api/concepts#solid,solid
https://isotc211.geolexica.org/api/concepts#source_reference,source reference
https://isotc211.geolexica.org/api/concepts#spatial_attribute,spatial attribute
https://isotc211.geolexica.org/api/concepts#spatial_object,spatial object
https://isotc211.geolexica.org/api/concepts#spatial_operator,spatial operator
https://isotc211.geolexica.org/api/concepts#spatial_reference,spatial reference
https://isotc211.geolexica.org/api/concepts#spatial_reference_system,spatial reference system
https://isotc211.geolexica.org/api/concepts#spatiotemp_domain_coverage,spatiotemporal domain <coverage>
https://isotc211.geolexica.org/api/concepts#spatiotemp_object,spatiotemporal object
https://isotc211.geolexica.org/api/concepts#specificationUML,specification (UML)
https://isotc211.geolexica.org/api/concepts#start_node,start node
https://isotc211.geolexica.org/api/concepts#start_point,start point
https://isotc211.geolexica.org/api/concepts#stereotypeUML,stereotype (UML)
https://isotc211.geolexica.org/api/concepts#strong_substitutability,strong substitutability
https://isotc211.geolexica.org/api/concepts#subcomplex,subcomplex
https://isotc211.geolexica.org/api/concepts#submitting_organization,submitting organization
https://isotc211.geolexica.org/api/concepts#subregister,subregister
https://isotc211.geolexica.org/api/concepts#surface,surface
https://isotc211.geolexica.org/api/concepts#surface_patch,surface patch
https://isotc211.geolexica.org/api/concepts#System_Under_Test,System Under Test
https://isotc211.geolexica.org/api/concepts#tagXML,tag (XML)
https://isotc211.geolexica.org/api/concepts#tagged_value_XML,tagged value (XML)
https://isotc211.geolexica.org/api/concepts#technical_standard,technical standard
https://isotc211.geolexica.org/api/concepts#technology_viewpoint,technology viewpoint
https://isotc211.geolexica.org/api/concepts#temporal_coordinate,temporal coordinate
https://isotc211.geolexica.org/api/concepts#temporal_coordinate_system,temporal coordinate system
https://isotc211.geolexica.org/api/concepts#temporal_feature_association,temporal feature association
https://isotc211.geolexica.org/api/concepts#temporal_feature_operation,temporal feature operation
https://isotc211.geolexica.org/api/concepts#temporal_position,temporal position
https://isotc211.geolexica.org/api/concepts#temporal_reference_system,temporal reference system
https://isotc211.geolexica.org/api/concepts#term,term
https://isotc211.geolexica.org/api/concepts#term_equivalent,term equivalent
https://isotc211.geolexica.org/api/concepts#term_instance_classification,term instance classification
https://isotc211.geolexica.org/api/concepts#terminological_record,terminological record
https://isotc211.geolexica.org/api/concepts#tessellation,tessellation
https://isotc211.geolexica.org/api/concepts#testing_laboratory,testing laboratory
https://isotc211.geolexica.org/api/concepts#Thiessen_polygon,Thiessen polygon
https://isotc211.geolexica.org/api/concepts#topological_boundary,topological boundary
https://isotc211.geolexica.org/api/concepts#topological_complex,topological complex
https://isotc211.geolexica.org/api/concepts#topological_dimension,topological dimension
https://isotc211.geolexica.org/api/concepts#topological_expression,topological expression
https://isotc211.geolexica.org/api/concepts#topological_object,topological object
https://isotc211.geolexica.org/api/concepts#topological_primitive,topological primitive
https://isotc211.geolexica.org/api/concepts#topological_solid,topological solid
https://isotc211.geolexica.org/api/concepts#tracking,tracking
https://isotc211.geolexica.org/api/concepts#transaction_time,transaction time
https://isotc211.geolexica.org/api/concepts#transfer_protocol,transfer protocol
https://isotc211.geolexica.org/api/concepts#traversable,traversable
https://isotc211.geolexica.org/api/concepts#traversal_order,traversal order
https://isotc211.geolexica.org/api/concepts#triangulated_irregular_network,triangulated irregular network
https://isotc211.geolexica.org/api/concepts#tuple,tuple
https://isotc211.geolexica.org/api/concepts#turn,turn
https://isotc211.geolexica.org/api/concepts#uncertainty,uncertainty
https://isotc211.geolexica.org/api/concepts#Uniform_Resource_Identifier,Uniform Resource Identifier
https://isotc211.geolexica.org/api/concepts#unit_of_measure,unit of measure
https://isotc211.geolexica.org/api/concepts#universal_face,universal face
https://isotc211.geolexica.org/api/concepts#universal_solid,universal solid
https://isotc211.geolexica.org/api/concepts#universe_of_discourse,universe of discourse
https://isotc211.geolexica.org/api/concepts#valid_time,valid time
https://isotc211.geolexica.org/api/concepts#valueUML,value (UML)
https://isotc211.geolexica.org/api/concepts#value_domain,value domain
https://isotc211.geolexica.org/api/concepts#vector,vector
https://isotc211.geolexica.org/api/concepts#vector_geometry,vector geometry
https://isotc211.geolexica.org/api/concepts#vehicle_classification,vehicle classification
https://isotc211.geolexica.org/api/concepts#verification_test,verification test
https://isotc211.geolexica.org/api/concepts#viewpoint_system,viewpoint (on a system)
https://isotc211.geolexica.org/api/concepts#waypoint,waypoint
https://isotc211.geolexica.org/api/concepts#workflow,workflow
https://isotc211.geolexica.org/api/concepts#local_datum,local datum
https://isotc211.geolexica.org/api/concepts#ellipsoid_coord_system,ellipsoidal coordinate system
https://isotc211.geolexica.org/api/concepts#ellipsoid_latitude,ellipsoidal latitude
https://isotc211.geolexica.org/api/concepts#ellipsoid_longitude,ellipsoidal longitude
https://isotc211.geolexica.org/api/concepts#zero_meridian,zero meridian
https://isotc211.geolexica.org/api/concepts#clarification,clarification
