concept,prefLabel,label
https://isotc211.geolexica.org/api/concepts#dependencyUML,dependencia (UML),dependency (UML)
https://isotc211.geolexica.org/api/concepts#deprecated_term,término desaprobado,deprecated term
https://isotc211.geolexica.org/api/concepts#direct_eval_method,método directo de evaluación,direct evaluation method
https://isotc211.geolexica.org/api/concepts#direct_position,posición directa,direct position
https://isotc211.geolexica.org/api/concepts#directed_edge,arco orientado,directed edge
https://isotc211.geolexica.org/api/concepts#directed_face,cara orientada,directed face
https://isotc211.geolexica.org/api/concepts#directed_node,nodo orientado,directed node
https://isotc211.geolexica.org/api/concepts#directed_solid,sólido orientado,directed solid
https://isotc211.geolexica.org/api/concepts#directed_topo_object,objeto topológico orientado,directed topological object
https://isotc211.geolexica.org/api/concepts#discrete_coverage,cobertura discreta,discrete coverage
https://isotc211.geolexica.org/api/concepts#distribution_transparency,transparencia de la distribución,distribution transparency
https://isotc211.geolexica.org/api/concepts#domain,dominio,domain
https://isotc211.geolexica.org/api/concepts#easting,este,easting
https://isotc211.geolexica.org/api/concepts#edge,arco,edge
https://isotc211.geolexica.org/api/concepts#edge_node_graph,grafo arco-nodo,edge-node graph
https://isotc211.geolexica.org/api/concepts#elementXML,elemento (XML),element (XML)
https://isotc211.geolexica.org/api/concepts#ellipsoid,elipsoide,ellipsoid
https://isotc211.geolexica.org/api/concepts#ellipsoid_height,altura elipsoidal,ellipsoid height
https://isotc211.geolexica.org/api/concepts#encoding,codificación,encoding
https://isotc211.geolexica.org/api/concepts#encoding_rule,reglas de codificación,encoding rule
https://isotc211.geolexica.org/api/concepts#encoding_service,servicio de codificación,encoding service
https://isotc211.geolexica.org/api/concepts#end_node,nodo final,end node
https://isotc211.geolexica.org/api/concepts#end_point,punto final,end point
https://isotc211.geolexica.org/api/concepts#engineering_datum,datum de ingeniería,engineering datum
https://isotc211.geolexica.org/api/concepts#engineering_viewpoint,punto de vista de la ingeniería,engineering viewpoint
https://isotc211.geolexica.org/api/concepts#enterprise_viewpoint,punto de vista empresarial,enterprise viewpoint
https://isotc211.geolexica.org/api/concepts#evaluation_coverage,evaluación (cobertura),evaluation (coverage)
https://isotc211.geolexica.org/api/concepts#event,evento,event
https://isotc211.geolexica.org/api/concepts#executable_test_case,caso de prueba ejecutable,executable test case
https://isotc211.geolexica.org/api/concepts#executable_test_suite,conjunto de pruebas ejecutables,executable test suite
https://isotc211.geolexica.org/api/concepts#exterior,exterior,exterior
https://isotc211.geolexica.org/api/concepts#external_function,función externa,external function
https://isotc211.geolexica.org/api/concepts#face,cara,face
https://isotc211.geolexica.org/api/concepts#fail_verdict,veredicto de fallo,fail verdict
https://isotc211.geolexica.org/api/concepts#falsification_test,prueba de falsedad,falsification test
https://isotc211.geolexica.org/api/concepts#feature,fenómeno,feature
https://isotc211.geolexica.org/api/concepts#feature_association,asociación de objeto geográfico,feature association
https://isotc211.geolexica.org/api/concepts#feature_attribute,atributo de objeto geográfico,feature attribute
https://isotc211.geolexica.org/api/concepts#feature_division,división de objeto geográfico,feature division
https://isotc211.geolexica.org/api/concepts#feature_fusion,fusión de objeto geográfico,feature fusion
https://isotc211.geolexica.org/api/concepts#feature_operation,operación de objeto geográfico,feature operation
https://isotc211.geolexica.org/api/concepts#feature_portrayal_rule_set,conjunto de reglas de representación de objetos geográficos,feature portrayal rule set
https://isotc211.geolexica.org/api/concepts#feature_substitution,sustitución de objetos geográficos,feature substitution
https://isotc211.geolexica.org/api/concepts#feature_succession,sucesión de objetos geográficos,feature succession
https://isotc211.geolexica.org/api/concepts#feature_table,tabla de objetos geográficos,feature table
https://isotc211.geolexica.org/api/concepts#file,archivo,file
https://isotc211.geolexica.org/api/concepts#flattening,achatamiento,flattening
https://isotc211.geolexica.org/api/concepts#framework,marco de trabajo,framework
https://isotc211.geolexica.org/api/concepts#full_inspection,inspección completa,full inspection
https://isotc211.geolexica.org/api/concepts#function,función,function
https://isotc211.geolexica.org/api/concepts#functional_language,lenguaje funcional,functional language
https://isotc211.geolexica.org/api/concepts#functional_standard,norma funcional,functional standard
https://isotc211.geolexica.org/api/concepts#gazetteer,nomenclátor geográfico,gazetteer
https://isotc211.geolexica.org/api/concepts#geocoding,geocodificación,geocoding
https://isotc211.geolexica.org/api/concepts#geodetic_coord_system,sistema de coordenadas geodésicas,geodetic coordinate system
https://isotc211.geolexica.org/api/concepts#geodetic_height,altitud geodésica,geodetic height
https://isotc211.geolexica.org/api/concepts#geodetic_latitude,latitud geodésica,geodetic latitude
https://isotc211.geolexica.org/api/concepts#geodetic_longitude,longitud geodésica,geodetic longitude
https://isotc211.geolexica.org/api/concepts#geographic_data,datos geográficos,geographic data
https://isotc211.geolexica.org/api/concepts#geographic_feature,objeto espacial,geographic feature
https://isotc211.geolexica.org/api/concepts#geographic_identifier,identificador geográfico,geographic identifier
https://isotc211.geolexica.org/api/concepts#geographic_info_service,servicio de información geográfica,geographic information service
https://isotc211.geolexica.org/api/concepts#geographic_info_system,sistema de información geográfica,geographic information system
https://isotc211.geolexica.org/api/concepts#geographic_information,información geográfica,geographic information
https://isotc211.geolexica.org/api/concepts#geometric_aggregate,agregado geométrico,geometric aggregate
https://isotc211.geolexica.org/api/concepts#geometric_boundary,frontera geométrica,geometric boundary
https://isotc211.geolexica.org/api/concepts#geometric_complex,complejo geométrico,geometric complex
https://isotc211.geolexica.org/api/concepts#geometric_object,objeto geométrico,geometric object
https://isotc211.geolexica.org/api/concepts#geometric_primitive,primitiva geométrica,geometric primitive
https://isotc211.geolexica.org/api/concepts#geometric_realization,realización geométrica,geometric realization
https://isotc211.geolexica.org/api/concepts#geometric_set,conjunto geométrico,geometric set
https://isotc211.geolexica.org/api/concepts#geometry_property,propiedad geométrica (GML),geometry property
https://isotc211.geolexica.org/api/concepts#gravity_related_height,altura relacionada con la gravedad,gravity-related height
https://isotc211.geolexica.org/api/concepts#grid,cuadrícula,grid
https://isotc211.geolexica.org/api/concepts#grid_coordinates,coordenadas malla,grid coordinates
https://isotc211.geolexica.org/api/concepts#grid_point,punto de malla,grid point
https://isotc211.geolexica.org/api/concepts#gridded_data,datos malla,gridded data
https://isotc211.geolexica.org/api/concepts#homomorphism,homomorfismo,homomorphism
https://isotc211.geolexica.org/api/concepts#image_point,punto imagen,image point
https://isotc211.geolexica.org/api/concepts#implementation,implementación,implementation
https://isotc211.geolexica.org/api/concepts#inconclusive_verdict,veredicto no concluyente,inconclusive verdict
https://isotc211.geolexica.org/api/concepts#indirect_eval_method,método indirecto de evaluación,indirect evaluation method
https://isotc211.geolexica.org/api/concepts#inert_position_system,sistema de posicionamiento inercial,inertial positioning system
https://isotc211.geolexica.org/api/concepts#information,información,information
https://isotc211.geolexica.org/api/concepts#information_viewpoint,punto de vista de la información,information viewpoint
https://isotc211.geolexica.org/api/concepts#inheritance,herencia (UML),inheritance (UML)
https://isotc211.geolexica.org/api/concepts#instance,instancia,instance
https://isotc211.geolexica.org/api/concepts#instance_model,modelo de instancias,instance model
https://isotc211.geolexica.org/api/concepts#instant,instante,instant
https://isotc211.geolexica.org/api/concepts#instantiate,instanciar,instantiate
https://isotc211.geolexica.org/api/concepts#integrated_position_system,sistema integrado de posicionamiento,integrated positioning system
https://isotc211.geolexica.org/api/concepts#interface,interfaz,interface
https://isotc211.geolexica.org/api/concepts#interfaceUML,interfaz (UML),interface (UML)
https://isotc211.geolexica.org/api/concepts#interior,interior,interior
https://isotc211.geolexica.org/api/concepts#interoperability,interoperabilidad,interoperability
https://isotc211.geolexica.org/api/concepts#interval_scale,escala de intervalo,interval scale
https://isotc211.geolexica.org/api/concepts#inverse_evaluation,evaluación inversa (cobertura),inverse evaluation (coverage)
https://isotc211.geolexica.org/api/concepts#isolated_node,nodo aislado,isolated node
https://isotc211.geolexica.org/api/concepts#isomorphism,isomorfismo,isomorphism
https://isotc211.geolexica.org/api/concepts#item,ítem,item
https://isotc211.geolexica.org/api/concepts#item_class,clase de ítems,item class
https://isotc211.geolexica.org/api/concepts#junction,cruce,junction
https://isotc211.geolexica.org/api/concepts#language_identifier,identificador de lenguaje,language identifier
https://isotc211.geolexica.org/api/concepts#layer,capa,layer
https://isotc211.geolexica.org/api/concepts#lexical_language,lenguaje léxico,lexical language
https://isotc211.geolexica.org/api/concepts#life_span,periodo de vida,life span
https://isotc211.geolexica.org/api/concepts#line_string,cadena de líneas,line string
https://isotc211.geolexica.org/api/concepts#linear_posit_system,sistema de posicionamiento lineal,linear positioning system
https://isotc211.geolexica.org/api/concepts#linear_reference_system,sistema de referencia lineal,linear reference system
https://isotc211.geolexica.org/api/concepts#linear_referencing_system,sistema de referencia lineal,linear referencing system
https://isotc211.geolexica.org/api/concepts#link,enlace,link
https://isotc211.geolexica.org/api/concepts#link_position,posición de un enlace,link position
https://isotc211.geolexica.org/api/concepts#location,localización,location
https://isotc211.geolexica.org/api/concepts#location_based_service,servicio basado en la localización,location based service
https://isotc211.geolexica.org/api/concepts#location_dependent_service,servicio dependiente de la localización,location dependent service
https://isotc211.geolexica.org/api/concepts#main_road_rule,regla de la vía principal,main-road rule
https://isotc211.geolexica.org/api/concepts#maneuver_manœuvre,maniobra,"maneuver, manœuvre"
https://isotc211.geolexica.org/api/concepts#map,mapa,map
https://isotc211.geolexica.org/api/concepts#mean_sea_level,nivel medio del mar,mean sea level
https://isotc211.geolexica.org/api/concepts#measureGML,medida (GML),measure (GML)
https://isotc211.geolexica.org/api/concepts#medium,medio,medium
https://isotc211.geolexica.org/api/concepts#metadata,metadatos,metadata
https://isotc211.geolexica.org/api/concepts#metadata_element,elemento de metadatos,metadata element
https://isotc211.geolexica.org/api/concepts#metadata_entity,entidad de metadatos,metadata entity
https://isotc211.geolexica.org/api/concepts#metadata_schema,esquema de metadatos,metadata schema
https://isotc211.geolexica.org/api/concepts#metadata_section,sección de metadatos,metadata section
https://isotc211.geolexica.org/api/concepts#metamodelUML,metamodelo (UML),metamodel (UML)
https://isotc211.geolexica.org/api/concepts#methodUML,método (UML),method (UML)
https://isotc211.geolexica.org/api/concepts#model,modelo,model
https://isotc211.geolexica.org/api/concepts#month,mes,month
https://isotc211.geolexica.org/api/concepts#motion,movimiento,motion
https://isotc211.geolexica.org/api/concepts#multiplicityUML,multiplicidad (UML),multiplicity (UML)
https://isotc211.geolexica.org/api/concepts#navigation,navegación,navigation
https://isotc211.geolexica.org/api/concepts#neighbourhood,vecindad,neighbourhood
https://isotc211.geolexica.org/api/concepts#network,red,network
https://isotc211.geolexica.org/api/concepts#node,nodo,node
https://isotc211.geolexica.org/api/concepts#non_conformance,no conformidad,non-conformance
https://isotc211.geolexica.org/api/concepts#northing,norte,northing
https://isotc211.geolexica.org/api/concepts#object,objeto,object
https://isotc211.geolexica.org/api/concepts#objectUML,objeto (UML),object (UML)
https://isotc211.geolexica.org/api/concepts#obsolete_term,término obsoleto,obsolete term
https://isotc211.geolexica.org/api/concepts#open_systems_enviro,entorno de sistemas abiertos,open systems environment
https://isotc211.geolexica.org/api/concepts#operating_conditions,condiciones de operación,operating conditions
https://isotc211.geolexica.org/api/concepts#operation,operación,operation
https://isotc211.geolexica.org/api/concepts#operationUML,operación (UML);,operation (UML)
https://isotc211.geolexica.org/api/concepts#optical_posit_system,sistema de posicionamiento óptico,optical positioning system
https://isotc211.geolexica.org/api/concepts#ordinal_era,era ordinal,ordinal era
https://isotc211.geolexica.org/api/concepts#ordinal_scale,escala ordinal,ordinal scale
https://isotc211.geolexica.org/api/concepts#ordinal_temp_ref_system,sistema de referencia temporal ordinal,ordinal temporal reference system
https://isotc211.geolexica.org/api/concepts#packageUML,paquete (UML),package (UML)
https://isotc211.geolexica.org/api/concepts#pass_verdict,veredicto de aprobado,pass verdict
https://isotc211.geolexica.org/api/concepts#performance_indicator,indicador de rendimiento,performance indicator
https://isotc211.geolexica.org/api/concepts#performance_testing,prueba de desempeño,performance testing
https://isotc211.geolexica.org/api/concepts#period,período,period
https://isotc211.geolexica.org/api/concepts#periodic_time,tiempo periódico,periodic time
https://isotc211.geolexica.org/api/concepts#physical_quantity,cantidad física,physical quantity
https://isotc211.geolexica.org/api/concepts#planar_topo_complex,complejo topológico planar,planar topological complex
https://isotc211.geolexica.org/api/concepts#point,punto,point
https://isotc211.geolexica.org/api/concepts#point_coverage,cobertura de puntos,point coverage
https://isotc211.geolexica.org/api/concepts#polygon_coverage,cobertura de polígonos,polygon coverage
https://isotc211.geolexica.org/api/concepts#population,población,population
https://isotc211.geolexica.org/api/concepts#portrayal,representación,portrayal
https://isotc211.geolexica.org/api/concepts#portrayal_catalogue,catálogo de representación,portrayal catalogue
https://isotc211.geolexica.org/api/concepts#portrayal_rule,regla de representación,portrayal rule
https://isotc211.geolexica.org/api/concepts#portrayal_service,servicio de representación,portrayal service
https://isotc211.geolexica.org/api/concepts#portrayal_specification,especificación de representación,portrayal specification
https://isotc211.geolexica.org/api/concepts#position,posición,position
https://isotc211.geolexica.org/api/concepts#positional_accuracy,exactitud posicional,positional accuracy
https://isotc211.geolexica.org/api/concepts#positional_system,sistema de posicionamiento,positional system
https://isotc211.geolexica.org/api/concepts#precision,precisión,precision
https://isotc211.geolexica.org/api/concepts#preferred_term,término preferente,preferred term
https://isotc211.geolexica.org/api/concepts#prime_meridian,primer meridiano,prime meridian
https://isotc211.geolexica.org/api/concepts#product_specification,especificaciones de producto,product specification
https://isotc211.geolexica.org/api/concepts#profile,perfil,profile
https://isotc211.geolexica.org/api/concepts#quality,calidad,quality
https://isotc211.geolexica.org/api/concepts#quality_schema,esquema de calidad,quality schema
https://isotc211.geolexica.org/api/concepts#range_coverage,rango (cobertura),range (coverage)
https://isotc211.geolexica.org/api/concepts#raster,ráster,raster
https://isotc211.geolexica.org/api/concepts#record,registro,record
https://isotc211.geolexica.org/api/concepts#rectified_grid,malla rectificada,rectified grid
https://isotc211.geolexica.org/api/concepts#reference_data,datos de referencia,reference data
https://isotc211.geolexica.org/api/concepts#referenceable_grid,malla referenciada,referenceable grid
https://isotc211.geolexica.org/api/concepts#refinementUML,refinamiento (UML),refinement (UML)
https://isotc211.geolexica.org/api/concepts#register,registro,register
https://isotc211.geolexica.org/api/concepts#register_owner,propietario del registro,register owner
https://isotc211.geolexica.org/api/concepts#registration,inscripción,registration
https://isotc211.geolexica.org/api/concepts#registry,sistema del registro,registry
https://isotc211.geolexica.org/api/concepts#relationshipUML,relación (UML),relationship (UML)
https://isotc211.geolexica.org/api/concepts#relative_position,posición relativa,relative position
https://isotc211.geolexica.org/api/concepts#relative_positional_accuracy,exactitud posicional relativa,relative positional accuracy
https://isotc211.geolexica.org/api/concepts#remote_sensing,teledetección,remote sensing
https://isotc211.geolexica.org/api/concepts#request,petición,request
https://isotc211.geolexica.org/api/concepts#resource,recurso,resource
https://isotc211.geolexica.org/api/concepts#response,respuesta,response
https://isotc211.geolexica.org/api/concepts#ring,anillo,ring
https://isotc211.geolexica.org/api/concepts#robustness_testing,prueba de robustez,robustness testing
https://isotc211.geolexica.org/api/concepts#route,ruta,route
https://isotc211.geolexica.org/api/concepts#route_instruction,instrucciones de ruta,route instruction
https://isotc211.geolexica.org/api/concepts#route_traversal,enrutamiento,route traversal
https://isotc211.geolexica.org/api/concepts#routing,enrutado,routing
https://isotc211.geolexica.org/api/concepts#satellite_posit_system,sistema de posicionamiento satelital,satellite positioning system
https://isotc211.geolexica.org/api/concepts#schema,esquema,schema
https://isotc211.geolexica.org/api/concepts#schema_model,modelo de esquema,schema model
https://isotc211.geolexica.org/api/concepts#segment,segmento,segment
https://isotc211.geolexica.org/api/concepts#semantic_type,tipo semántico,semantic type
https://isotc211.geolexica.org/api/concepts#sequence,secuencia,sequence
https://isotc211.geolexica.org/api/concepts#server,servidor,server
https://isotc211.geolexica.org/api/concepts#service,servicio,service
https://isotc211.geolexica.org/api/concepts#service_chain,cadena de servicios,service chain
https://isotc211.geolexica.org/api/concepts#service_interface,interfaz de servicio,service interface
https://isotc211.geolexica.org/api/concepts#service_metadata,metadatos de servicio,service metadata
https://isotc211.geolexica.org/api/concepts#set,conjunto,set
https://isotc211.geolexica.org/api/concepts#shell,envoltura,shell
https://isotc211.geolexica.org/api/concepts#simple,simple,simple
https://isotc211.geolexica.org/api/concepts#simple_feature,objeto geográfico simple,simple feature
https://isotc211.geolexica.org/api/concepts#slope,pendiente,slope
https://isotc211.geolexica.org/api/concepts#solid,sólido,solid
https://isotc211.geolexica.org/api/concepts#source_reference,referencia de la fuente,source reference
https://isotc211.geolexica.org/api/concepts#spatial_attribute,atributo espacial,spatial attribute
https://isotc211.geolexica.org/api/concepts#spatial_object,objeto espacial,spatial object
https://isotc211.geolexica.org/api/concepts#spatial_operator,operador espacial,spatial operator
https://isotc211.geolexica.org/api/concepts#spatial_reference,referencia espacial,spatial reference
https://isotc211.geolexica.org/api/concepts#spatial_reference_system,sistema de referencia espacial,spatial reference system
https://isotc211.geolexica.org/api/concepts#spatiotemp_domain_coverage,dominio espacio-temporal (cobertura),spatiotemporal domain <coverage>
https://isotc211.geolexica.org/api/concepts#spatiotemp_object,objeto espacio-temporal,spatiotemporal object
https://isotc211.geolexica.org/api/concepts#specificationUML,especificación (UML),specification (UML)
https://isotc211.geolexica.org/api/concepts#start_node,nodo inicial,start node
https://isotc211.geolexica.org/api/concepts#start_point,punto inicial,start point
https://isotc211.geolexica.org/api/concepts#stereotypeUML,estereotipo (UML):,stereotype (UML)
https://isotc211.geolexica.org/api/concepts#strong_substitutability,intercambiabilidad fuerte,strong substitutability
https://isotc211.geolexica.org/api/concepts#subcomplex,subcomplejo,subcomplex
https://isotc211.geolexica.org/api/concepts#submitting_organization,organización remitente,submitting organization
https://isotc211.geolexica.org/api/concepts#subregister,subregistro,subregister
https://isotc211.geolexica.org/api/concepts#surface,superficie,surface
https://isotc211.geolexica.org/api/concepts#surface_patch,parche superficial,surface patch
https://isotc211.geolexica.org/api/concepts#System_Under_Test,Sistema Bajo Prueba,System Under Test
https://isotc211.geolexica.org/api/concepts#tagXML,etiqueta (XML),tag (XML)
https://isotc211.geolexica.org/api/concepts#tagged_value_XML,valor etiquetado (UML),tagged value (XML)
https://isotc211.geolexica.org/api/concepts#technical_standard,norma técnica,technical standard
https://isotc211.geolexica.org/api/concepts#technology_viewpoint,punto de vista de la tecnología,technology viewpoint
https://isotc211.geolexica.org/api/concepts#temporal_coordinate,coordenada temporal,temporal coordinate
https://isotc211.geolexica.org/api/concepts#temporal_coordinate_system,sistema de coordenadas temporales,temporal coordinate system
https://isotc211.geolexica.org/api/concepts#temporal_feature_association,asociación de objetos geográficos temporales,temporal feature association
https://isotc211.geolexica.org/api/concepts#temporal_feature_operation,operación de objetos geográficos temporales,temporal feature operation
https://isotc211.geolexica.org/api/concepts#temporal_position,posición temporal,temporal position
https://isotc211.geolexica.org/api/concepts#temporal_reference_system,sistema de referencia temporal,temporal reference system
https://isotc211.geolexica.org/api/concepts#term,término,term
https://isotc211.geolexica.org/api/concepts#term_equivalent,término equivalente,term equivalent
