dcterms:identifier,resource,rdf:type,rdf:type,osgeo:review_date,osgeo:review_decision,osgeo:review_decision_event,osgeo:review_decision_notes,osgeo:review_status
107,osgeo-review:Review107,osgeo:ConceptReview,owl:NamedIndividual,,,,,
108,osgeo-review:Review108,osgeo:ConceptReview,owl:NamedIndividual,,,,,
109,osgeo-review:Review109,osgeo:ConceptReview,owl:NamedIndividual,,,,,
110,osgeo-review:Review110,osgeo:ConceptReview,owl:NamedIndividual,,,,,
111,osgeo-review:Review111,osgeo:ConceptReview,owl:NamedIndividual,,,,,
112,osgeo-review:Review112,osgeo:ConceptReview,owl:NamedIndividual,,,,,
113,osgeo-review:Review113,osgeo:ConceptReview,owl:NamedIndividual,,,,,
114,osgeo-review:Review114,osgeo:ConceptReview,owl:NamedIndividual,,,,,
115,osgeo-review:Review115,osgeo:ConceptReview,owl:NamedIndividual,,,,,
116,osgeo-review:Review116,osgeo:ConceptReview,owl:NamedIndividual,,,,,
117,osgeo-review:Review117,osgeo:ConceptReview,owl:NamedIndividual,,,,,
118,osgeo-review:Review118,osgeo:ConceptReview,owl:NamedIndividual,,,,,
119,osgeo-review:Review119,osgeo:ConceptReview,owl:NamedIndividual,,,,,
120,osgeo-review:Review120,osgeo:ConceptReview,owl:NamedIndividual,,,,,
121,osgeo-review:Review121,osgeo:ConceptReview,owl:NamedIndividual,,,,,
122,osgeo-review:Review122,osgeo:ConceptReview,owl:NamedIndividual,,,,,
123,osgeo-review:Review123,osgeo:ConceptReview,owl:NamedIndividual,,,,,
124,osgeo-review:Review124,osgeo:ConceptReview,owl:NamedIndividual,,,,,
125,osgeo-review:Review125,osgeo:ConceptReview,owl:NamedIndividual,,,,,
126,osgeo-review:Review126,osgeo:ConceptReview,owl:NamedIndividual,,,,,
127,osgeo-review:Review127,osgeo:ConceptReview,owl:NamedIndividual,,,,,
128,osgeo-review:Review128,osgeo:ConceptReview,owl:NamedIndividual,,,,,
129,osgeo-review:Review129,osgeo:ConceptReview,owl:NamedIndividual,,,,,
130,osgeo-review:Review130,osgeo:ConceptReview,owl:NamedIndividual,,,,,
131,osgeo-review:Review131,osgeo:ConceptReview,owl:NamedIndividual,,,,,
132,osgeo-review:Review132,osgeo:ConceptReview,owl:NamedIndividual,,,,,
133,osgeo-review:Review133,osgeo:ConceptReview,owl:NamedIndividual,,,,,
134,osgeo-review:Review134,osgeo:ConceptReview,owl:NamedIndividual,,,,,
135,osgeo-review:Review135,osgeo:ConceptReview,owl:NamedIndividual,,,,,
136,osgeo-review:Review136,osgeo:ConceptReview,owl:NamedIndividual,,,,,
137,osgeo-review:Review137,osgeo:ConceptReview,owl:NamedIndividual,,,,,
138,osgeo-review:Review138,osgeo:ConceptReview,owl:NamedIndividual,,,,,
139,osgeo-review:Review139,osgeo:ConceptReview,owl:NamedIndividual,,,,,
140,osgeo-review:Review140,osgeo:ConceptReview,owl:NamedIndividual,,,,,
141,osgeo-review:Review141,osgeo:ConceptReview,owl:NamedIndividual,,,,,
142,osgeo-review:Review142,osgeo:ConceptReview,owl:NamedIndividual,,,,,
143,osgeo-review:Review143,osgeo:ConceptReview,owl:NamedIndividual,,,,,
144,osgeo-review:Review144,osgeo:ConceptReview,owl:NamedIndividual,,,,,
145,osgeo-review:Review145,osgeo:ConceptReview,owl:NamedIndividual,,,,,
146,osgeo-review:Review146,osgeo:ConceptReview,owl:NamedIndividual,,,,,
147,osgeo-review:Review147,osgeo:ConceptReview,owl:NamedIndividual,,,,,
148,osgeo-review:Review148,osgeo:ConceptReview,owl:NamedIndividual,,,,,
149,osgeo-review:Review149,osgeo:ConceptReview,owl:NamedIndividual,,,,,
150,osgeo-review:Review150,osgeo:ConceptReview,owl:NamedIndividual,,,,,
151,osgeo-review:Review151,osgeo:ConceptReview,owl:NamedIndividual,,,,,
